"Nsat" "Rcore" "Rsat" "gap" "satellite" "wavelength" "total_absorption" "sat_absorption"
50 30 2 1 "Ag" 470 6374.60201566724 38.5598598004091
50 30 2 1 "Ag" 472 6418.82643073948 37.233064053421
50 30 2 1 "Ag" 474 6468.56592283036 36.0479435189817
50 30 2 1 "Ag" 476 6524.09239178499 34.9959980441031
50 30 2 1 "Ag" 478 6585.6908314013 34.0700735514363
50 30 2 1 "Ag" 480 6653.65924564514 33.2642318106093
50 30 2 1 "Ag" 482 6728.30824046581 32.5736419098968
50 30 2 1 "Ag" 484 6809.96018760211 31.9944894311521
50 30 2 1 "Ag" 486 6898.94783126001 31.5238997559857
50 30 2 1 "Ag" 488 6995.61217742011 31.1598721866137
50 30 2 1 "Ag" 490 7100.2994677955 30.9012216702097
50 30 2 1 "Ag" 492 7213.3569950587 30.7475248873106
50 30 2 1 "Ag" 494 7335.12746187143 30.6990673181187
50 30 2 1 "Ag" 496 7465.94152264347 30.7567876516821
50 30 2 1 "Ag" 498 7606.10807340015 30.9222155707491
50 30 2 1 "Ag" 500 7755.90177205638 31.1973985512239
50 30 2 1 "Ag" 502 7915.54718062133 31.5848128830964
50 30 2 1 "Ag" 504 8085.19882660592 32.0872536722981
50 30 2 1 "Ag" 506 8264.91639114731 32.7076981390011
50 30 2 1 "Ag" 508 8454.63415980174 33.4491361003961
50 30 2 1 "Ag" 510 8654.12384074983 34.3143611257396
50 30 2 1 "Ag" 512 8862.94989847369 35.3057155027763
50 30 2 1 "Ag" 514 9080.41671917405 36.4247819301864
50 30 2 1 "Ag" 516 9305.50728803131 37.6720149309281
50 30 2 1 "Ag" 518 9536.81371136216 39.0463057361172
50 30 2 1 "Ag" 520 9772.46097244758 40.5444764650725
50 30 2 1 "Ag" 522 10010.0268894094 42.1607038043339
50 30 2 1 "Ag" 524 10246.4634458272 43.8858803451315
50 30 2 1 "Ag" 526 10478.0275127355 45.70693465071
50 30 2 1 "Ag" 528 10700.2323404069 47.6061500253104
50 30 2 1 "Ag" 530 10907.8346779178 49.5605468256051
50 30 2 1 "Ag" 532 11094.875230572 51.5414219979421
50 30 2 1 "Ag" 534 11254.7912444338 53.5141674512648
50 30 2 1 "Ag" 536 11380.6178580459 55.4385076076923
50 30 2 1 "Ag" 538 11465.2880211123 57.2692948953883
50 30 2 1 "Ag" 540 11502.0283421713 58.9579683677026
50 30 2 1 "Ag" 542 11484.8305986892 60.4547070427968
50 30 2 1 "Ag" 544 11408.958237569 61.7111972634562
50 30 2 1 "Ag" 546 11271.4286240104 62.6837978795762
50 30 2 1 "Ag" 548 11071.4010966687 63.3367589286841
50 30 2 1 "Ag" 550 10810.403621179 63.645068272619
50 30 2 1 "Ag" 552 10492.3495855308 63.5965016071868
50 30 2 1 "Ag" 554 10123.3286906141 63.1925494571398
50 30 2 1 "Ag" 556 9711.19453906157 62.4480744832406
50 30 2 1 "Ag" 558 9265.0061919861 61.3897691184155
50 30 2 1 "Ag" 560 8794.40241812964 60.0536793060113
50 30 2 1 "Ag" 562 8308.99085512983 58.4821856037802
50 30 2 1 "Ag" 564 7817.8209909844 56.7208647861131
50 30 2 1 "Ag" 566 7328.985640139 54.8156007482992
50 30 2 1 "Ag" 568 6849.36820427721 52.8102030186654
50 30 2 1 "Ag" 570 6384.5292065612 50.7446622591669
50 30 2 1 "Ag" 572 5938.70930814828 48.6540566195063
50 30 2 1 "Ag" 574 5514.91814888136 46.5680393158948
50 30 2 1 "Ag" 576 5115.07756702999 44.5107912527065
50 30 2 1 "Ag" 578 4740.19167519328 42.5013080257274
50 30 2 1 "Ag" 580 4390.522491426 40.5538987160758
