"Nsat" "Rcore" "Rsat" "gap" "satellite" "wavelength" "total_absorption" "sat_absorption"
1 30 2 1 "Pd" 450 5819.91602618799 2.40928134951755
1 30 2 1 "Pd" 460 5917.87912910659 2.29502634169148
1 30 2 1 "Pd" 470 6110.48278038214 2.2352718710505
1 30 2 1 "Pd" 480 6427.27893564746 2.25439719322091
1 30 2 1 "Pd" 490 6902.93696669196 2.38997168980181
1 30 2 1 "Pd" 500 7572.65819278732 2.70168200300403
1 30 2 1 "Pd" 510 8451.40524896459 3.27723191684877
1 30 2 1 "Pd" 520 9472.34001913999 4.21329424580997
1 30 2 1 "Pd" 530 10359.1528744235 5.51344037006756
1 30 2 1 "Pd" 540 10533.7836196664 6.87811117652403
1 30 2 1 "Pd" 550 9473.66637235923 7.66916041788695
1 30 2 1 "Pd" 560 7453.72315637038 7.48816953257938
1 30 2 1 "Pd" 570 5340.30268226211 6.62473726860904
1 30 2 1 "Pd" 580 3679.40540859072 5.58662450591532
1 30 2 1 "Pd" 590 2533.44481570993 4.65526136700885
1 30 2 1 "Pd" 600 1777.55586190926 3.90175934215081
1 30 2 1 "Pd" 610 1280.68559294932 3.31184559587601
1 30 2 1 "Pd" 620 949.224971728932 2.85086015728238
1 30 2 1 "Pd" 630 723.250682657835 2.4869657662701
1 30 2 1 "Pd" 640 565.509274873533 2.1954611241833
1 30 2 1 "Pd" 650 452.801227704277 1.95824167855649
50 30 2 1 "Pd" 350 6021.9999873714 198.812396538888
50 30 2 1 "Pd" 360 6061.2923705017 189.81819960826
50 30 2 1 "Pd" 370 6099.34874315345 181.668879471276
50 30 2 1 "Pd" 380 6124.43309647262 173.942205628848
50 30 2 1 "Pd" 390 6127.45168635991 166.15728084042
50 30 2 1 "Pd" 400 6105.21249871111 157.933878905546
50 30 2 1 "Pd" 410 6061.87048079252 149.252371058356
50 30 2 1 "Pd" 420 6008.25186678442 140.286425078317
50 30 2 1 "Pd" 430 5960.03367343561 131.379836553505
50 30 2 1 "Pd" 440 5935.81074292475 123.031949964313
50 30 2 1 "Pd" 450 5956.04294115345 115.783342796843
50 30 2 1 "Pd" 460 6043.10489716302 110.270932773184
50 30 2 1 "Pd" 470 6222.40489650688 107.280068918966
50 30 2 1 "Pd" 480 6524.07046040917 107.919809708541
50 30 2 1 "Pd" 490 6984.0693224549 113.866427151137
50 30 2 1 "Pd" 500 7641.49977986528 127.73724648201
50 30 2 1 "Pd" 510 8522.84713256764 153.354982596559
50 30 2 1 "Pd" 520 9591.10485174818 195.14313246273
50 30 2 1 "Pd" 530 10627.5907899502 254.446584512242
50 30 2 1 "Pd" 540 11096.1632090233 320.73087822792
50 30 2 1 "Pd" 550 10358.7084766415 366.106967894471
50 30 2 1 "Pd" 560 8454.86866884908 366.471881726532
50 30 2 1 "Pd" 570 6223.53998645161 329.49101981865
50 30 2 1 "Pd" 580 4364.62348821835 279.735266634868
50 30 2 1 "Pd" 590 3043.96466177108 233.333929207987
50 30 2 1 "Pd" 600 2159.99083767658 195.254761042663
50 30 2 1 "Pd" 610 1574.14983770557 165.320751202073
50 30 2 1 "Pd" 620 1181.03265339283 141.935574643771
50 30 2 1 "Pd" 630 911.546101598683 123.514103827715
50 30 2 1 "Pd" 640 722.298254776697 108.797496091696
50 30 2 1 "Pd" 650 586.145766728488 96.8557279171839
