"Nsat" "Rcore" "Rsat" "gap" "satellite" "wavelength" "total_absorption" "sat_absorption"
1 20 2 1 "Ag" 424 1831.53278834013 3.79566521322584
1 20 2 1 "Ag" 426 1825.37325096062 3.38518897437128
1 20 2 1 "Ag" 428 1819.8340035704 3.03632640878416
1 20 2 1 "Ag" 430 1814.95882761559 2.73788953774886
1 20 2 1 "Ag" 432 1810.79120689194 2.48101206660475
1 20 2 1 "Ag" 434 1807.37482278792 2.25862724605482
1 20 2 1 "Ag" 436 1804.75387507377 2.06506732610932
1 20 2 1 "Ag" 438 1802.97331207251 1.89575715436472
1 20 2 1 "Ag" 440 1802.07901827992 1.74697961019934
1 20 2 1 "Ag" 442 1802.11798642348 1.61569549732875
1 20 2 1 "Ag" 444 1803.13848851825 1.49940465098813
1 20 2 1 "Ag" 446 1805.19025311213 1.3960382764882
1 20 2 1 "Ag" 448 1808.3246514978 1.30387502858143
1 20 2 1 "Ag" 450 1812.5948929476 1.22147521587119
1 20 2 1 "Ag" 452 1818.05622724318 1.1476289132188
1 20 2 1 "Ag" 454 1824.76615145971 1.08131480539012
1 20 2 1 "Ag" 456 1832.78461682746 1.0216673588667
1 20 2 1 "Ag" 458 1842.17423033009 0.967950495279829
1 20 2 1 "Ag" 460 1853.00044435888 0.919536370938244
1 20 2 1 "Ag" 462 1865.33172609942 0.87588819043817
1 20 2 1 "Ag" 464 1879.2396962643 0.836546226262549
1 20 2 1 "Ag" 466 1894.79922417717 0.801116401020177
1 20 2 1 "Ag" 468 1912.08846292616 0.769260929517507
1 20 2 1 "Ag" 470 1931.18880418124 0.740690625175854
1 20 2 1 "Ag" 472 1952.18472713389 0.715158557474785
1 20 2 1 "Ag" 474 1975.16350966342 0.692454810046841
1 20 2 1 "Ag" 476 2000.21476203484 0.672402137120427
1 20 2 1 "Ag" 478 2027.42973393923 0.654852352384385
1 20 2 1 "Ag" 480 2056.90033424305 0.639683311322688
1 20 2 1 "Ag" 482 2088.71778917763 0.62679636726736
1 20 2 1 "Ag" 484 2122.9708486872 0.616114193960475
1 20 2 1 "Ag" 486 2159.74343219992 0.60757887403567
1 20 2 1 "Ag" 488 2199.11158434261 0.601150153995834
1 20 2 1 "Ag" 490 2241.13958861482 0.596803762284051
1 20 2 1 "Ag" 492 2285.87506388366 0.594529678210687
1 20 2 1 "Ag" 494 2333.34284677339 0.59433022624735
1 20 2 1 "Ag" 496 2383.53744593227 0.596217853342986
1 20 2 1 "Ag" 498 2436.41384695225 0.600212427946544
1 20 2 1 "Ag" 500 2491.87645709579 0.60633788087074
1 20 2 1 "Ag" 502 2549.76601788343 0.614617994018312
1 20 2 1 "Ag" 504 2609.84439582598 0.625071139261441
1 20 2 1 "Ag" 506 2671.77730613619 0.63770378464829
1 20 2 1 "Ag" 508 2735.11525375435 0.652502629229883
1 20 2 1 "Ag" 510 2799.27331461409 0.669425313755329
1 20 2 1 "Ag" 512 2863.51084862245 0.688389795591908
1 20 2 1 "Ag" 514 2926.9128432279 0.709262684009215
1 20 2 1 "Ag" 516 2988.37531599326 0.731847112001838
1 20 2 1 "Ag" 518 3046.59799545403 0.755871066761172
1 20 2 1 "Ag" 520 3100.08822595745 0.780977486898764
1 20 2 1 "Ag" 522 3147.18049722156 0.80671780731157
1 20 2 1 "Ag" 524 3186.07589603378 0.832550905981149
1 20 2 1 "Ag" 526 3214.90478462497 0.857849463643588
1 20 2 1 "Ag" 528 3231.8138395929 0.881915454019549
1 20 2 1 "Ag" 530 3235.07513312505 0.904005725159107
1 20 2 1 "Ag" 532 3223.21045386717 0.923367371064365
1 20 2 1 "Ag" 534 3195.1192753109 0.939280922294144
1 20 2 1 "Ag" 536 3150.19487059409 0.951107576913056
1 20 2 1 "Ag" 538 3088.41143757368 0.95833518154524
1 20 2 1 "Ag" 540 3010.3668621498 0.96061694836
1 20 2 1 "Ag" 542 2917.27121905828 0.9577973349668
1 20 2 1 "Ag" 544 2810.87942926578 0.949921201362569
1 20 2 1 "Ag" 546 2693.37573999814 0.937224981675264
1 20 2 1 "Ag" 548 2567.22548671781 0.920111533872867
1 20 2 1 "Ag" 550 2435.01396226313 0.899112814397334
1 20 2 1 "Ag" 552 2299.29230053042 0.874845984136812
1 20 2 1 "Ag" 554 2162.44655674408 0.847968757633343
1 20 2 1 "Ag" 556 2026.60010427298 0.819138913965754
1 20 2 1 "Ag" 558 1893.55287574264 0.788981314778609
1 20 2 1 "Ag" 560 1764.75536273314 0.758064016109605
1 20 2 1 "Ag" 562 1641.3115053119 0.726883518717383
1 20 2 1 "Ag" 564 1524.00281320532 0.69585810423525
1 20 2 1 "Ag" 566 1413.32593375567 0.665327604203641
1 20 2 1 "Ag" 568 1309.5368600896 0.635557775205739
1 20 2 1 "Ag" 570 1212.69649351447 0.606747577687692
1 20 2 1 "Ag" 572 1122.71389795398 0.579037945626761
1 20 2 1 "Ag" 574 1039.38503556588 0.552520981773714
1 20 2 1 "Ag" 576 962.425921938722 0.527248847420318
1 20 2 1 "Ag" 578 891.499960923041 0.503241898358642
1 20 2 1 "Ag" 580 826.239748070962 0.480495836377773
1 20 2 1 "Ag" 582 766.26392871705 0.458987800096711
1 20 2 1 "Ag" 584 711.189826666977 0.438681419712854
1 20 2 1 "Ag" 586 660.642579119401 0.41953091947465
1 20 2 1 "Ag" 588 614.261467338312 0.401484381047387
1 20 2 1 "Ag" 590 571.704052685642 0.384486290274785
1 20 2 1 "Ag" 592 532.648635178092 0.36847948673675
1 20 2 1 "Ag" 594 496.795459780747 0.353406625436719
1 20 2 1 "Ag" 596 463.867011371804 0.339211246634117
1 20 2 1 "Ag" 598 433.607665993778 0.325838535637306
1 20 2 1 "Ag" 600 405.782904517332 0.313235840695365
1 20 2 1 "Ag" 602 380.178244673154 0.301353004717184
1 20 2 1 "Ag" 604 356.59800735149 0.290142555724741
1 20 2 1 "Ag" 606 334.864001657723 0.279559791771839
1 20 2 1 "Ag" 608 314.81418896132 0.269562788442924
1 20 2 1 "Ag" 610 296.301367715352 0.260112350826014
1 20 2 1 "Ag" 612 279.191906962264 0.251171926840566
1 20 2 1 "Ag" 614 263.364546176096 0.242707494804502
1 20 2 1 "Ag" 616 248.709271601897 0.234687434968272
1 20 2 1 "Ag" 618 235.126273882273 0.227082392271714
1 20 2 1 "Ag" 620 222.524987989671 0.219865135658081
1 20 2 1 "Ag" 622 210.823213906547 0.213010417797125
1 20 2 1 "Ag" 624 199.946314802194 0.20649483793376
1 20 2 1 "Ag" 626 189.826488406401 0.200296709716256
1 20 2 1 "Ag" 628 180.402106695988 0.194395935207858
1 20 2 1 "Ag" 630 171.617118755146 0.188773885801194
1 20 2 1 "Ag" 632 163.420511643548 0.183413290397244
1 20 2 1 "Ag" 634 155.765824233018 0.178298130951506
1 20 2 1 "Ag" 636 148.610709199523 0.173413545304946
1 20 2 1 "Ag" 638 141.916538643274 0.168745737089288
1 20 2 1 "Ag" 640 135.648049127541 0.164281892410627
1 20 2 1 "Ag" 642 129.773022256715 0.160010102961676
1 20 2 1 "Ag" 644 124.261997242874 0.155919295182759
1 20 2 1 "Ag" 646 119.088012228376 0.151999165078738
1 20 2 1 "Ag" 648 114.226371434452 0.148240118298359
1 20 2 1 "Ag" 650 109.654435488814 0.144633215090532
1 20 2 1 "Ag" 652 105.351432547499 0.141170119765976
1 20 2 1 "Ag" 654 101.298288066901 0.137843054310357
1 20 2 1 "Ag" 656 97.4774713016206 0.134644755815078
1 20 2 1 "Ag" 658 93.8728568030587 0.131568437413019
1 20 2 1 "Ag" 660 90.4695993739402 0.128607752428076
1 20 2 1 "Ag" 662 87.2540210962044 0.125756761468634
1 20 2 1 "Ag" 664 84.213509195616 0.123009902215756
